ID,show_title,TV_rating,IMDB_total_votes,IMDB_rating,seasons,total_episodes,start_date,end_date,duration,network,genre
tt7736544,3Below: Tales of Arcadia,TV-Y7,5776,7.7,2,26,12/21/2018,7/12/2019,203,Netflix,"action, adventure, comedy, family, fantasy, science fiction"
tt1305826,Adventure Time,TV-PG,86837,8.6,10,282,4/5/2010,7/20/2018,2839,Cartoon Network,"action, adventure, comedy, family, fantasy, science fiction"
tt11165358,Adventure Time: Distant Lands,TV-PG,3322,8.7,1,4,6/25/2020,9/2/2021,434,HBO Max,"action, adventure, comedy, family, fantasy, science fiction"
tt1790914,Allen Gregory,TV-14,3442,4.1,1,7,10/30/2011,12/18/2011,49,Fox,comedy
tt0397306,American Dad!,TV-14,123144,7.3,19,322,2/6/2005,,6201,Fox,comedy
tt8050740,Amphibia,TV-Y7,4025,8.1,3,49,6/17/2019,11/27/2021,894,Disney Channel,"action, adventure, comedy, drama, family, fantasy, mystery, science fiction, short"
tt11126994,Arcane,TV-14,139377,9.2,1,9,11/6/2021,,84,Netflix,"action, adventure, drama, fantasy, science fiction"
tt1486217,Archer,TV-MA,148165,8.6,13,126,9/17/2009,,4517,FX Networks,"action, comedy"
tt0169414,Arthur,TV-Y7,13522,7.3,25,249,10/7/1996,,9245,PBS,"adventure, comedy, drama, family, fantasy, musical, short"
tt4163486,Bee and PuppyCat,TV-PG,1764,8.1,2,11,7/11/2013,11/28/2016,1236,YouTube,"action, adventure, comedy, drama, fantasy, science fiction"
tt7165904,Big City Greens,TV-Y7,1781,7.2,3,61,6/18/2018,10/9/2021,1209,Disney Channel,"action, comedy, family"
tt6524350,Big Mouth,TV-MA,71731,7.9,5,51,9/29/2019,,853,Netflix,"comedy, romance"
tt1561755,Bob's Burgers,TV-PG,74206,8.1,13,227,1/9/2011,,4038,Fox,comedy
tt3398228,BoJack Horseman,TV-MA,136573,8.7,6,77,8/22/2014,1/31/2020,1988,Netflix,"comedy, drama"
tt2474952,Bravest Warriors,TV-PG,3407,8,4,82,11/8/2012,12/24/2018,2237,YouTube,"action, adventure, comedy, drama, family, fantasy, science fiction"
tt2022713,Brickleberry,TV-MA,15229,7.3,3,36,9/25/2012,4/14/2015,931,Comedy Central,comedy
tt7042146,Carmen Sandiego,TV-Y7,5309,7.9,4,32,1/18/2019,1/15/2021,728,Netflix,"action, adventure, family, mystery, thriller"
tt6517102,Castlevania,TV-MA,58516,8.3,4,32,7/7/2017,5/13/2021,1406,Netflix,"action, adventure, drama, fantasy, horror"
tt10919290,Centaurworld,TV-Y7,1677,7.6,2,18,7/30/2021,12/7/2021,130,Netflix,"adventure, comedy, family, fantasy, musical, short"
tt15125616,Chicago Party Aunt,TV-MA,1219,5.3,1,8,9/17/2021,9/17/2021,0,Netflix,"animation, comedy"
tt3221268,Chozen,TV-MA,1890,6.4,1,13,1/13/2014,12/16/2014,337,FX Networks,comedy
tt10380896,City of Ghosts,TV-PG,337,6.8,1,6,3/5/2021,3/5/2021,0,Netflix,"adventure, family, fantasy"
tt3061050,Clarence,TV-PG,8814,6.6,3,130,5/21/2013,6/24/2018,1860,Cartoon Network,"adventure, comedy, family, short"
tt7713450,Craig of the Creek,TV-Y7,1961,7.1,4,130,3/30/2018,,1401,Cartoon Network,"adventure, comedy, drama, family"
tt5120600,Danger & Eggs,TV-G,513,4.5,1,13,6/30/2017,6/30/2017,0,Amazon Prime,"adventure, comedy, family, fantasy, short"
tt5363918,Disenchantment,TV-14,54834,7.2,4,30,8/17/2018,,1261,Netflix,"action, adventure, comedy, fantasy"
tt1710295,Doc McStuffins,TV-G,2261,6.5,5,136,3/23/2012,1/8/2020,2847,Disney Junior,"family, fantasy, musical"
tt14069590,Dota: Dragon's Blood,TV-MA,15512,7.9,2,8,3/25/2021,3/25/2021,0,Netflix,"action, adventure, fantasy, science fiction, thriller"
tt0386180,Drawn Together,TV-MA,19896,7,3,36,10/27/2004,11/15/2007,1114,Comedy Central,comedy
tt5531466,DuckTales (2017),TV-Y,8892,8.2,3,75,8/12/2017,3/15/2021,1311,Disney XD,"action, adventure, comedy, family, fantasy, mystery, science fiction"
tt9073898,Duncanville,TV-14,1760,6.1,3,23,2/16/2020,,713,Fox,comedy
tt4326894,F Is for Family,TV-MA,35012,8,5,44,12/18/2015,11/25/2021,2169,Netflix,"comedy, drama"
tt0182576,Family Guy,TV-14,321568,8.1,21,380,1/31/1999,,8399,Fox,comedy
tt8322592,Fast & Furious Spy Racers,TV-Y7,1394,5.6,6,52,12/26/2019,12/17/2021,722,Netflix,"action, adventure, comedy, crime, drama, family, short"
tt6317068,Final Space,TV-14,40816,8.2,3,36,2/26/2018,6/14/2021,1204,"Adult Swim, TBS","action, adventure, comedy, drama, fantasy, science fiction"
tt0854504,Freak Show,TV-MA,404,4.8,1,7,10/4/2006,11/16/2006,43,Comedy Central,comedy
tt5957358,Freedom Fighters: The Ray,none listed,1064,5.8,2,12,12/8/2017,7/18/2018,222,CW Seed,"action, fantasy, science fiction"
tt0149460,Futurama,TV-14,225740,8.4,10,140,3/28/1999,9/4/2013,5274,"Fox, Comedy Central","adventure, comedy, science fiction"
tt0108783,Gargoyles,TV-Y7,15866,8.1,2,78,10/24/1994,2/15/1997,845,ABC,"action, adventure, crime, drama, family, fantasy, mystery, romance, thriller"
tt7945066,gen:LOCK,TV-PG,1488,7.2,2,20,1/26/2019,12/23/2021,1062,"Rooster Teeth, Adult Swim, HBO Max","action, adventure, fantasy, science fiction"
tt1865718,Gravity Falls,TV-Y7,91329,8.9,2,40,6/15/2012,2/15/2016,1340,Disney Channel,"action, adventure, comedy, drama, family, fantasy, horror, mystery, science fiction, thriller"
tt7658402,Harley Quinn,TV-MA,21337,8.5,2,26,11/29/2019,,792,HBO Max,"action, adventure, comedy, crime, fantasy, mystery, science fiction"
tt7216636,Hazbin Hotel,TV-MA,3740,7.6,1,1,10/28/2019,10/28/2019,0,YouTube,"comedy, crime, drama, fantasy, horror, musical"
tt10691770,Helluva Boss,TV-MA,3150,7.8,1,9,11/25/2019,,796,YouTube,"comedy, crime, fantasy, horror, musical"
tt0115200,Hey Arnold!,TV-Y7,32684,7.6,5,100,10/7/1996,6/8/2004,2801,Nickelodeon,"comedy, drama, family"
tt13635348,High Guardian Spice,TV-MA,1477,1.2,1,12,10/26/2021,,95,Crunchyroll Originals,"action, adventure, comedy, fantasy"
tt9077562,Hoops,TV-MA,5710,6,1,10,8/21/2020,8/21/2020,0,Netflix,"comedy, sport"
tt6741278,Invincible,TV-MA,103853,8.7,2,8,3/26/2021,,309,Amazon Prime,"action, adventure, drama, fantasy, science fiction, thriller"
tt11198220,Jellystone!,TV-G,414,6.2,1,11,7/29/2021,7/29/2021,0,HBO Max,"adventure, comedy, family, short"
tt0118375,King of the Hill,TV-PG,49863,7.3,13,259,1/12/1997,6/13/2009,4535,Fox,"comedy, drama"
